#AI Update
# = { "x" "x" }
#Please use standard east-slavic or Russian orthography. G's over H's, as it was an ancestral trait
##ruthenia region in standard ukrainian slavic
#podlasie
275 = { "Polack" "Polack" }
771 = { "Viciebsk" "Viciebsk" }
5913 = { "Sebezh" "Sebezh" }
5915 = { "Chashniki" "Chashniki" }
5917 = { "Orsha" "Orsha" }
5919 = { "Garadok" "Garadok" }
5920 = { "Glybokaye" "Glybokaye" }

##baltic region
#sudovia
270 = { "Treki" "Treki" }
1936 = { "Kovno" "Kovno" }
1937 = { "Grodna" "Grodna" }
5892 = { "Olita" "Olita" }
5901 = { "Eishyshki" "Eishyshki" }
#lithuania
272 = { "Vilnia" "Vilnia" }
770 = { "Braslau" "Braslau" }
4534 = { "Upite" "Upite" }
4535 = { "Vilkomir" "Vilkomir" }
5902 = { "Utena" "Utena" }
5903 = { "Svianciany" "Svianciany" }
5908 = { "Miadziel" "Miadziel" }

##russia region
#tver
4243 = { "Toropets" "Toropets" }
#smolensk
5924 = { "Dorogobuzh" "Dorogobuzh" }
##tatary
#yedisan
282 = { "Kotsyubiev" "Kotsyubiev" }
2406 = { "Bilikhovichi" "Bilikhovichi" }
6189 = { "Vitovd Brod" "Vitovd Brod" }
6190 = { "Ochakiv" "Ochakiv" }
6191 = { "Beryslav" "Beryslav" }
#zaparizhia
6199 = { "Kodak" "Kodak" }
##carpathia
#bukovina
268 = { "Suchava" "Suchava" }
5596 = { "Khotyn" "Khotyn" }
5600 = { "Dorokhoi" "Dorokhoi" }
5604 = { "Radovtsi" "Radovtsi" }
5606 = { "Pokuttya" "Kolomiya" }
5605 = { "Bukovyna" "Chernivtsi" }
#moldavia
4529 = { "Yasy" "Yasy" }
4530 = { "Byrlad" "Byrlad" }
5593 = { "Orgiïv" "Orgiïv" }
5594 = { "Soroky" "Soroky" }
5595 = { "Bel'tsy" "Bel'tsy" }
5601 = { "Fokshany" "Fokshany" }
5602 = { "Bakeu" "Bakeu" }
5603 = { "Nyamts" "Nyamts" }
#bessarabia
5591 = { "Izmaïl" "Izmaïl" }
5592 = { "Tigech" "Tigech" }
5597 = { "Galac" "Galac" }
